序号,时间(s),幅值(高频80K)
1,0.177,6000.29
2,0.444,5999.34
3,0.712,6000.91
4,0.980,6000.18
5,1.249,6000.64
6,1.517,6003.17
7,1.786,6000.52
8,2.054,5999.96
9,2.322,6000.51
10,2.591,5996.19
11,2.859,5998.56
12,3.127,6002.56
13,3.395,6001.30
14,3.663,5999.80
15,3.931,5997.86
16,4.200,5998.57
17,4.467,6004.24
18,4.735,6021.95
19,5.004,6034.01
20,5.272,6037.14
21,5.540,6037.38
22,5.808,6034.06
23,6.076,6031.27
24,6.345,6031.86
25,6.613,6009.27
26,6.881,6008.44
27,7.149,6005.89
28,7.418,6006.19
29,7.688,6002.31
30,7.958,6006.63
31,8.226,6005.13
32,8.494,6005.79
33,8.762,6009.22
34,9.030,6007.81
35,9.300,6005.68
36,9.567,6030.26
37,9.835,6031.31
38,10.104,6031.30
39,10.372,6029.12
40,10.640,6031.30
41,10.908,6029.07
42,11.177,6030.37
43,11.445,6033.30
44,11.713,6028.02
45,11.981,5999.07
46,12.248,6001.14
47,12.516,5998.83
48,12.785,6000.28
49,13.052,5996.24
50,13.320,6000.23
51,13.587,6000.87
52,13.856,5999.15
53,14.124,6029.50
54,14.392,6029.90
55,14.660,6031.39
56,14.928,6027.65
57,15.196,6030.45
58,15.464,6029.28
59,15.733,6030.27
60,16.001,6027.19
61,16.269,6027.94
62,16.537,5999.56
63,16.806,5997.34
64,17.075,5993.98
65,17.344,5994.23
66,17.612,5996.15
67,17.880,5995.30
68,18.149,5999.27
69,18.417,6031.03
70,18.685,6035.46
71,18.953,6032.15
72,19.222,6032.13
73,19.490,6027.93
74,19.758,6032.17
75,20.027,6000.22
76,20.294,6002.60
77,20.563,5997.88
78,20.831,6003.70
79,21.099,5998.43
80,21.368,5996.00
81,21.636,5995.34
82,21.904,6020.91
83,22.172,6029.72
84,22.440,6031.63
85,22.708,6024.95
86,22.976,6032.65
87,23.244,6030.36
88,23.513,6029.85
89,23.780,6001.39
90,24.048,5996.89
91,24.316,5993.51
92,24.584,5995.08
93,24.852,5991.42
94,25.120,5993.83
95,25.389,5989.39
96,25.658,5988.30
97,25.925,5993.25
98,26.193,6004.09
99,26.462,6022.07
100,26.730,6022.27
101,26.998,6021.97
102,27.267,6020.58
103,27.536,6020.07
104,27.804,6019.84
105,28.072,6019.08
106,28.340,6013.05
107,28.609,5991.82
108,28.876,5989.53
109,29.145,5990.47
110,29.414,5989.10
111,29.683,5990.86
112,29.951,5988.90
113,30.220,5988.67
114,30.487,5995.07
115,30.756,6022.00
116,31.025,6025.39
117,31.294,6019.72
118,31.563,6021.88
119,31.830,6022.59
120,32.098,6022.94
121,32.366,6022.95
122,32.635,6022.99
123,32.902,6022.53
124,33.171,5992.79
125,33.439,5988.43
126,33.707,5987.67
127,33.976,5984.35
128,34.244,5989.49
129,34.513,5986.71
130,34.782,5988.11
131,35.050,5987.30
132,35.318,5986.85
133,35.586,5986.14
134,35.854,5985.79
135,36.122,5980.62
136,36.390,6015.97
137,36.658,6014.45
138,36.926,6017.86
139,37.194,6013.33
140,37.462,6014.20
141,37.730,5987.57
142,37.999,5989.10
143,38.267,5985.84
144,38.535,5984.37
145,38.805,5985.97
146,39.073,5986.00
147,39.340,5985.54
148,39.610,5983.34
149,39.878,5986.01
150,40.147,5986.15
151,40.415,5985.80
152,40.684,5985.67
153,40.952,5986.46
154,41.220,5985.62
155,41.490,5997.90
156,41.758,6009.92
157,42.027,6008.14
158,42.296,6011.25
159,42.564,6008.48
160,42.831,6006.52
161,43.099,6009.21
162,43.368,6009.34
163,43.636,6010.38
164,43.905,6008.00
165,44.173,5990.38
166,44.441,5985.36
167,44.709,5980.50
168,44.976,5982.83
169,45.244,5985.37
170,45.513,5978.34
171,45.781,5984.09
172,46.049,5979.28
173,46.316,5982.94
174,46.585,5990.07
175,46.853,5995.48
176,47.122,6010.88
177,47.391,6012.57
178,47.658,6015.25
179,47.926,6009.25
180,48.194,6008.80
181,48.463,6012.15
182,48.731,6014.06
183,48.999,6013.64
184,49.267,5985.46
185,49.535,5985.68
186,49.803,5982.57
187,50.071,5979.92
188,50.340,5983.87
189,50.607,5982.91
190,50.875,5983.19
191,51.143,5982.21
192,51.411,5983.24
193,51.679,5981.50
194,51.947,5979.91
195,52.215,5980.97
196,52.483,5981.53
197,52.751,5979.49
198,53.019,5983.58
199,53.287,6006.31
200,53.556,6006.91
201,53.823,6005.40
202,54.093,6006.08
203,54.361,6006.16
204,54.628,6004.92
205,54.896,6002.89
206,55.163,6006.49
207,55.432,6007.63
208,55.700,6005.85
209,55.968,6004.79
210,56.237,5976.81
211,56.505,5980.52
212,56.773,5979.64
213,57.042,5983.05
214,57.310,5980.07
215,57.578,5979.26
216,57.846,5978.50
217,58.114,5978.29
218,58.382,5978.87
219,58.650,5979.89
220,58.918,5978.72
221,59.186,5980.80
222,59.453,6001.86
223,59.722,6007.72
224,59.990,6005.73
225,60.259,6004.22
226,60.527,6002.21
227,60.795,6004.72
228,61.063,6003.21
229,61.331,6003.26
230,61.599,6004.18
231,61.867,5998.88
232,62.136,5987.31
233,62.404,5977.13
234,62.672,5972.73
235,62.940,5976.67
236,63.208,5973.18
237,63.476,5975.62
238,63.744,5976.08
239,64.012,5976.71
240,64.279,5977.61
241,64.547,5975.99
242,64.815,5974.14
243,65.083,5999.46
244,65.351,5999.66
245,65.619,5997.94
246,65.888,5997.98
247,66.157,5996.52
248,66.425,5999.72
249,66.693,5999.38
250,66.961,5998.85
251,67.229,5990.40
252,67.496,5994.69
253,67.764,5999.54
254,68.033,5974.71
255,68.301,5975.80
256,68.570,5973.81
257,68.838,5976.49
258,69.106,5972.65
259,69.375,5972.34
260,69.644,5970.44
261,69.913,5976.14
262,70.182,5969.10
263,70.450,5972.27
264,70.718,5972.18
265,70.986,5972.22
266,71.254,5996.06
267,71.522,5998.32
268,71.790,5997.49
269,72.059,6000.07
270,72.328,5999.12
271,72.596,5977.70
272,72.864,5972.12
273,73.133,5972.47
274,73.400,5972.60
275,73.669,5968.44
276,73.938,5971.08
277,74.206,5974.22
278,74.475,5998.54
279,74.742,5999.97
280,75.009,5999.43
281,75.278,5996.02
282,75.547,5994.94
283,75.816,5996.17
284,76.083,5996.75
285,76.352,5995.70
286,76.621,5996.23
287,76.889,5975.01
288,77.157,5965.77
289,77.425,5969.86
290,77.694,5969.07
291,77.963,5969.82
292,78.231,5973.22
293,78.498,5968.84
294,78.767,5975.55
295,79.035,5994.55
296,79.303,5994.78
297,79.571,6000.05
298,79.839,5994.66
299,80.109,5995.19
300,80.377,5992.00
301,80.646,5971.81
302,80.914,5966.56
303,81.181,5969.60
304,81.450,5965.83
305,81.718,5966.95
306,81.986,5967.75
307,82.254,5965.20
308,82.522,5978.59
309,82.790,5991.73
310,83.059,5996.29
311,83.325,5990.39
312,83.592,5990.66
313,83.860,5989.85
314,84.129,5989.53
315,84.397,5992.36
316,84.666,5964.63
317,84.934,5965.65
318,85.202,5963.09
319,85.471,5965.81
320,85.739,5963.54
321,86.007,5967.16
322,86.275,5970.28
323,86.544,5986.47
324,86.812,5989.18
325,87.080,5988.48
326,87.347,5985.09
327,87.617,5988.30
328,87.885,5987.04
329,88.152,5989.26
330,88.421,5987.03
331,88.689,5989.37
332,88.957,5972.92
333,89.224,5963.06
334,89.493,5961.96
335,89.761,5962.68
336,90.029,5961.57
337,90.297,5964.60
338,90.566,5961.87
339,90.834,5977.41
340,91.102,5988.75
341,91.371,5985.03
342,91.639,5986.67
343,91.907,5987.20
344,92.176,5986.46
345,92.444,5988.56
346,92.713,5986.21
347,92.981,5979.08
348,93.250,5959.58
349,93.518,5960.33
350,93.786,5961.55
351,94.054,5960.33
352,94.322,5957.57
353,94.590,5958.99
354,94.859,5958.80
355,95.127,5959.89
356,95.394,5983.17
357,95.663,5986.10
358,95.930,5982.31
359,96.198,5984.71
360,96.467,5983.44
361,96.735,5986.23
362,97.004,5981.37
363,97.272,5959.34
364,97.540,5957.40
365,97.808,5957.73
366,98.076,5959.14
367,98.345,5955.71
368,98.613,5959.77
369,98.881,5957.84
370,99.149,5958.99
371,99.417,5960.34
372,99.685,5978.89
373,99.953,5980.97
374,100.221,5983.70
375,100.489,5980.48
376,100.757,5980.07
377,101.025,5981.37
378,101.293,5955.84
379,101.561,5954.62
380,101.829,5954.58
381,102.097,5956.04
382,102.365,5951.37
383,102.633,5953.85
384,102.901,5950.54
385,103.169,5949.55
386,103.437,5948.52
387,103.705,5947.27
388,103.973,5947.05
389,104.241,5946.38
390,104.509,5943.88
